epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.652,0.69542,0.7697,1.0667,0.55714,0.44451,0.46906,0.30292,1.28946,1.77199,1.46424,0.000332584,0.000332584,0.000332584
2,259.246,0.72168,0.82754,1.08029,0.62037,0.42641,0.46608,0.30319,1.30849,1.79188,1.47032,0.000639547,0.000639547,0.000639547
3,383.998,0.76299,0.88868,1.09821,0.49942,0.45151,0.44327,0.28121,1.32927,1.80711,1.47876,0.00092011,0.00092011,0.00092011
4,508.606,0.74721,0.89636,1.1011,0.53311,0.39704,0.41609,0.25901,1.34049,1.89272,1.51638,0.0008812,0.0008812,0.0008812
5,633.204,0.75299,0.87473,1.09451,0.59469,0.43225,0.46355,0.29708,1.30922,1.70245,1.45211,0.0008416,0.0008416,0.0008416
6,758.585,0.73718,0.84868,1.08767,0.55987,0.44225,0.46414,0.29846,1.32679,1.76154,1.46978,0.000802,0.000802,0.000802
7,883.899,0.73437,0.84432,1.08942,0.61276,0.40245,0.44822,0.28745,1.32572,1.77682,1.48334,0.0007624,0.0007624,0.0007624
8,1010.56,0.72377,0.80813,1.08076,0.58232,0.41427,0.44554,0.2845,1.336,1.87067,1.50148,0.0007228,0.0007228,0.0007228
9,1137.34,0.71774,0.78379,1.07187,0.62499,0.43716,0.48427,0.31411,1.31182,1.71212,1.45597,0.0006832,0.0006832,0.0006832
10,1262.43,0.7048,0.76879,1.06898,0.63181,0.43614,0.4795,0.31575,1.29198,1.66812,1.44914,0.0006436,0.0006436,0.0006436
11,1387.67,0.69495,0.74918,1.06505,0.58398,0.45974,0.48132,0.31918,1.2616,1.66092,1.41513,0.000604,0.000604,0.000604
12,1512.85,0.68858,0.72964,1.05558,0.60013,0.43111,0.46407,0.30656,1.28645,1.82499,1.45343,0.0005644,0.0005644,0.0005644
13,1638.37,0.6887,0.70839,1.05395,0.6098,0.46158,0.50074,0.3306,1.27459,1.65816,1.44159,0.0005248,0.0005248,0.0005248
14,1763.2,0.67499,0.69024,1.04794,0.61864,0.44522,0.48816,0.32197,1.28851,1.75182,1.43483,0.0004852,0.0004852,0.0004852
15,1888.04,0.66666,0.67532,1.04317,0.64989,0.43113,0.48289,0.32128,1.26608,1.72275,1.42098,0.0004456,0.0004456,0.0004456
16,2042.77,0.67402,0.62135,1.03432,0.61425,0.45126,0.49521,0.32781,1.27496,1.67348,1.44122,0.000406,0.000406,0.000406
17,2167.14,0.66125,0.58413,1.02553,0.62118,0.44338,0.48184,0.32239,1.27595,1.77987,1.44392,0.0003664,0.0003664,0.0003664
18,2291.42,0.64771,0.56716,1.02062,0.66312,0.46139,0.509,0.34217,1.26667,1.66027,1.43389,0.0003268,0.0003268,0.0003268
19,2415.24,0.63848,0.55087,1.01742,0.64262,0.45283,0.49917,0.33524,1.26441,1.77788,1.43966,0.0002872,0.0002872,0.0002872
20,2539.5,0.62966,0.52636,1.00709,0.61906,0.47156,0.50925,0.34626,1.25416,1.78376,1.42284,0.0002476,0.0002476,0.0002476
21,2663.53,0.62076,0.50543,0.99946,0.65465,0.45767,0.50902,0.34596,1.24731,1.76424,1.41931,0.000208,0.000208,0.000208
22,2787.76,0.60669,0.4864,0.99406,0.65104,0.45767,0.50175,0.3428,1.24679,1.76335,1.42841,0.0001684,0.0001684,0.0001684
23,2911.75,0.59707,0.4677,0.98565,0.65443,0.45773,0.51561,0.35201,1.25395,1.75124,1.42691,0.0001288,0.0001288,0.0001288
24,3035.88,0.5952,0.46039,0.98485,0.64274,0.4719,0.51262,0.34691,1.25535,1.76969,1.42429,8.92e-05,8.92e-05,8.92e-05
25,3160.73,0.58185,0.44265,0.97553,0.63829,0.47341,0.50777,0.34515,1.25387,1.80757,1.4306,4.96e-05,4.96e-05,4.96e-05
